url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB, html_bytes, html_request, js_bytes, js_request, css_bytes, css_request, image_bytes, image_request, flash_bytes, flash_request, fort_bytes, font_request, video_bytes, video_request, other_bytes, other_request
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDcEK_5NY,4381,10089,10089,14946,618827,500912,2836196,1750765,234,234,191,163,0,71,10089,10113,4111,5083,10043,69,0.012946018,1685,1224,,,4111,10032,14,0,477,57699,21,1325961,61,59905,15,248995,72,0,0,434748,3,698876,1,10012,60,
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDcMP_5NZ,5080,11304,11304,15866,611640,512733,2835819,2467371,238,238,198,162,0,76,11304,11331,3976,4967,11255,71,0.012946018,2643,1482,,,3975,11250,14,0,615,57742,21,1325754,61,59905,15,248760,74,0,0,434748,3,698876,1,10034,62,
https://www.samsung.com/uk/smartphones/galaxy-s23/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDcJW_5P7,5143,11576,11576,19601,713727,466347,3127664,2661711,273,273,180,197,2,74,11576,11640,4483,5115,11559,85,0.2257448082,2409,1263,,,4483,11557,7,0,449,708378,31,1530805,80,68886,8,337961,76,0,0,434748,3,0,0,46886,75,
https://www.samsung.com/uk/smartphones/galaxy-s23/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDc3J_5NK,4656,10978,10978,17171,706481,455837,2806514,2340604,275,275,182,196,1,78,10978,11063,4342,4913,10959,86,0.2257448082,2199,1203,15680,15680,4340,10957,7,0,572,399344,31,1530347,80,58907,8,337793,75,0,0,434748,3,0,0,45375,78,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDcX0_5ND,6764,13080,13080,24725,812041,520993,2809334,2279205,284,284,184,210,0,74,13080,13118,3419,4094,13035,87,0.0275035549,1665,1381,,,3419,13024,4,0,485,67666,30,1554164,83,88025,4,526397,87,0,0,434748,3,0,0,138334,77,
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDcBH_5P6,4389,11742,11742,17766,581712,482754,2845452,2477038,235,235,195,162,0,73,11742,11788,4485,4772,11688,67,0.0132001066,3994,2168,,,4483,11678,14,0,928,57739,21,1326171,61,67294,15,248953,73,0,0,434748,3,698876,1,11671,60,
https://www.samsung.com/uk/smartphones/galaxy-s23/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDcJV_5NN,4845,11261,11261,17936,714628,465646,2815074,2349132,274,274,181,196,1,77,11261,11300,4318,4922,11245,85,0.2257448082,2580,1340,16275,16275,4318,11233,7,0,433,399008,30,1529100,80,68886,8,337835,76,0,0,434748,3,0,0,45497,77,
https://www.samsung.com/uk/smartphones/galaxy-s23/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDc6K_5NP,5172,11195,11195,18347,706735,461278,3124097,2658208,274,274,181,195,2,77,11195,11252,4363,4950,11178,86,0.2257448082,2302,1335,16812,16812,4361,11163,7,0,433,708388,31,1528594,80,68886,8,337978,77,0,0,434748,3,0,0,45503,75,
https://www.samsung.com/uk/smartphones/galaxy-s23/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDcWK_5NH,8406,13445,13445,24994,895276,522315,3281156,2276714,313,313,183,239,0,74,13445,13489,3706,4442,13408,91,0.0662837483,1847,1459,23576,23576,3706,13399,4,0,440,69129,32,1966967,95,139958,5,529733,96,0,0,434748,3,0,0,140621,82,
https://www.samsung.com/uk/smartphones/galaxy-s23/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDcWN_5NQ,8319,13150,13150,24503,893260,520284,3289811,2285454,316,316,186,238,0,78,13150,13193,3905,4583,13111,93,0.0662837483,1950,1594,22695,22695,3905,13097,4,0,481,69136,32,1966899,95,147743,5,529498,97,0,0,434748,3,0,0,141787,84,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDcGR_5NC,7993,14918,14918,26160,836318,511985,2886753,2302734,290,290,182,215,0,75,14918,14965,3813,4577,14867,85,0.0275035549,1812,1440,,,3813,14857,4,0,430,67621,31,1563227,85,88025,4,568422,90,0,0,434748,3,0,0,164710,77,
