url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDc46_1KP,11279,24979,24979,40780,896277,475825,3505484,2984610,377,377,188,213,0,164,24979,25026,7695,8185,24897,83,0.0393066406,2499,2043,34502,34502,7695,24887,3,0,856,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcPA_1FF,10964,23489,23489,32025,879298,508236,2644593,2239751,362,362,196,194,2,166,23489,23522,5296,5568,23462,71,0.0351104736,3259,2270,,,5294,23450,6,0,859,
https://www.samsung.com/uk/ss_ga4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcVA_1FM,4555,17551,17551,25145,775003,487450,2085571,1835091,323,323,197,162,0,161,17551,17594,4140,4423,17522,67,0,2699,1751,22576,22576,4138,17514,13,0,850,
https://www.samsung.com/uk/ss_ga4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcWE_1FN,4898,17955,17955,25471,777047,491542,2085565,1835150,324,324,197,162,0,162,17955,18001,5528,5861,17931,67,0,2767,1777,22454,22454,5526,17918,13,0,880,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcH8_1G6,9922,22718,22718,33175,889626,476652,3477678,2924212,372,372,192,210,0,162,22718,22755,8694,9219,22651,77,0.0243759155,2614,2007,,,7696,22637,3,0,849,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcXJ_1G8,5863,22724,22724,29971,798956,521233,3171672,3000313,333,333,203,169,0,164,22724,22766,8656,9221,22653,71,0.0243759155,2668,1988,,,7912,22642,3,0,857,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDc3E_1G3,10235,23793,23793,34279,911826,513533,3477871,2924567,372,372,203,210,0,162,23793,23829,8706,9250,23725,80,0.0243759155,2715,2078,,,7696,23712,3,0,899,
https://www.samsung.com/uk/ss_ga4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcB5_1F0,4325,17861,17861,24756,770805,494834,2085527,1835130,322,322,201,162,0,160,17861,17891,4166,4457,17834,65,0,4564,1935,22542,22542,4164,17819,13,0,884,
https://www.samsung.com/uk/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcR3_1F7,5201,18075,18075,26609,874061,500552,2359872,1884548,358,358,201,193,0,165,18075,18119,4430,4720,18043,70,0.0290527344,3414,2115,,,4428,18028,13,0,1174,
https://www.samsung.com/uk/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcAS_1GB,6041,17979,17979,26185,871733,495120,2358059,1882576,358,358,196,193,0,165,17979,18012,4084,4436,17942,70,0.0290527344,2733,1829,,,4084,17923,13,0,848,
