url, result, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/uk/ss_ga4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcKZ_5H1,18657,18657,39117,790943,450340,2336194,2148808,339,339,179,173,0,166,18657,18715,5698,6058,18614,76,0,5054,2122,26820,26820,5698,18606,13,0,854,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc7P_5FS,26307,26307,37088,864446,539305,3681504,3450866,363,363,212,195,0,168,26307,26352,8943,9581,26248,89,0.0243759155,3582,2834,35417,35417,7466,26236,3,0,862,
https://www.samsung.com/uk/ss_ga4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc36_5F1,18696,18696,30426,781073,440116,2339367,2091185,339,339,182,174,0,165,18696,18735,6073,6480,18657,74,0,5242,2549,27224,27224,6073,18655,13,0,1065,
https://www.samsung.com/uk/ss_ga4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcGB_5GS,18627,18627,37440,790882,443623,2336070,2148690,340,340,181,176,0,164,18627,18677,5715,6062,18586,72,0,4955,2649,27152,27152,5713,18572,13,0,860,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcMA_5GH,25490,25490,35884,852917,542181,3497144,3266436,363,363,217,195,0,168,25490,25533,9005,9608,25416,88,0.0243759155,3490,3064,34580,34580,7490,25403,3,0,875,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDcPV_5F2,26844,26844,40825,997451,537066,4054665,3439313,405,405,211,235,0,170,26844,26925,9194,9856,26759,88,0.0243759155,3392,2665,,,7204,26755,3,0,900,
https://www.samsung.com/uk/cs_ga3/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc6R_5FM,19217,19217,33456,894601,419521,2722487,2154965,374,374,167,209,0,165,19217,19239,5785,6153,19176,78,0,4973,2017,32333,32333,5783,19160,13,0,845,
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcNC_5G2,18135,18135,30558,863975,415713,2597095,2121961,370,370,169,205,0,165,18135,18180,6271,6913,18103,78,0.0290527344,4414,4081,,,6271,18091,13,0,857,
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDcYV_5FB,20369,20369,31268,884111,511396,2597814,2140503,373,373,206,207,0,166,20369,20424,6402,6897,20338,78,0.0290527344,4431,4067,,,6401,20322,13,0,865,
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDc2T_5G4,19260,19260,31089,879214,482001,2603934,2146484,372,372,196,206,0,166,19260,19288,6247,6832,19228,78,0.0290527344,4561,4122,,,6247,19221,13,0,897,
https://www.samsung.com/uk/cs_ga3/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDcAT_5FP,19717,19717,32170,906056,506758,2723367,2156051,378,378,203,211,0,167,19717,19753,5753,6095,19682,80,0,5064,1953,31053,31053,5751,19668,13,0,958,
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcR8_5FS,18274,18274,30676,884810,429122,2605394,2128584,370,370,174,205,0,165,18274,18317,6380,6652,18238,79,0.0290527344,4423,4062,,,6380,18222,13,0,870,
